,name,place_id,formatted_address,types,user_ratings_total,rating
49,The Blooms Garden,ChIJpR8_7qCJ0S0RHlO03mW65YY,"Br. Batusesa, Candikuning, Baturiti, Tabanan Regency, Bali 82191, Indonesia","tourist_attraction,lodging,restaurant,food,point_of_interest,establishment",3365,4.6
50,Bayan Ancient Tree,ChIJqY3rbqsm0i0RaRCP8rUVSqw,"H5VP+9QF, Tua, Marga, Tabanan Regency, Bali 82191, Indonesia","tourist_attraction,point_of_interest,establishment",374,4.7
51,Pantai Tanjung Benoa,ChIJ1U5QMNBD0i0R4709gsQdZNU,"Tanjung Benoa, South Kuta, Badung Regency, Bali 80361, Indonesia","tourist_attraction,point_of_interest,establishment",14,4.9
52,Air Panas Angseri,ChIJ_____8OJ0S0RzYLkKOcHW_M,"J5W4+GFX, Angseri, Bangli, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia","tourist_attraction,point_of_interest,establishment",1404,4.4
53,The SILA'S Agrotourism,ChIJ-2Zw47yJ0S0RRdldgViSw_M,"Candikuning, Baturiti, Tabanan Regency, Bali 82191, Indonesia","tourist_attraction,amusement_park,point_of_interest,establishment",2495,4.4
54,Batu Lantang Waterfall,ChIJlXqFDewg0i0RfC9vctP8sUM,"J6X9+JP2, Pelaga, Petang, Badung Regency, Bali 80353, Indonesia","tourist_attraction,point_of_interest,establishment",46,4.6
55,Gili Putih Sumberkima,ChIJ2fmvVJdp0S0RcMeSosWckHw,"Sumberkima, Buleleng Regency, Bali 81155, Indonesia","tourist_attraction,point_of_interest,establishment",181,4.6
56,Pantai Jasri,ChIJkRg4rWAI0i0RJV8SNFD1sTg,"GJ9C+WC9, Unnamed Road, Gg. Kangkung, Subagan, Kec. Karangasem, Kabupaten Karangasem, Bali 80811, Indonesia","tourist_attraction,point_of_interest,establishment",236,4.5
57,Marigold (Gumitir Garden),ChIJD9Lz2gCL0S0RofvL0ap4zYo,"P69Q+HFW, Belok/Sidan, Petang, Badung Regency, Bali 80353, Indonesia","tourist_attraction,point_of_interest,establishment",117,4.4
58,Wahana Wisata Sambhrama Ashram,ChIJKzEcPhcn0i0RujZNRP08gv8,"Senganan, Penebel, Tabanan Regency, Bali 82152, Indonesia","tourist_attraction,point_of_interest,establishment",448,4.5
59,Pantai Yeh Malet,ChIJm7V37gcO0i0RtCs-s4-56oo,"Yeh Malet, Antiga Kelod, Kec. Karangasem, Karangasem Regency, Bali 80871, Indonesia","tourist_attraction,point_of_interest,establishment",183,4.3
60,Waterblow,ChIJmRTfT9ZC0i0RRB_NXwb5P2k,"Benoa, South Kuta, Badung Regency, Bali 80363, Indonesia","tourist_attraction,park,point_of_interest,establishment",8853,4.4
61,Big Garden Corner,ChIJwwCS2XFA0i0RwGKRquRfi2s,"Sanur, Jl. Bypass Ngurah Rai, Kesiman, Denpasar Selatan, Kota Denpasar, Bali 80237, Indonesia","tourist_attraction,point_of_interest,establishment",5705,4.3
62,Lembah Bidadari (Angel Valley),ChIJAzxT71kf0i0RdZJCraQLT14,"Sangaji, Taro, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561, Indonesia","tourist_attraction,point_of_interest,establishment",181,4.3
63,Main Entrance GWK Cultural Park,ChIJ3fLUUs9E0i0RP8BFf-NGZiU,"Jl. Kw. Garuda Wisnu Kencana, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","tourist_attraction,point_of_interest,establishment",10949,4.5
64,Danau Cimpago,ChIJM03qlyy51C8R4-g6vxspOrY,"3982+FG6, Kelurahan Purus, Kecamatan Padang Barat, Purus, Padang, Kota Padang, Sumatera Barat 25115, Indonesia","tourist_attraction,point_of_interest,establishment",664,4.3
65,Taman Siti Nurbaya,ChIJHWMIEgC81C8R80L9kSJvNQc,"29M5+VV6, Batang Arau, Padang Selatan, Padang City, West Sumatra, Indonesia","tourist_attraction,park,point_of_interest,establishment",500,4.6
66,Nobita Hill,ChIJIVla7SK61C8RiVcKISmpdKU,"Kampung Jua Nan XX, Lubuk Begalung, Padang City, West Sumatra 25153, Indonesia","tourist_attraction,point_of_interest,establishment",149,4.5
67,Air Terjun Sarasah,ChIJo0JWABq31C8R-s6nG2HFdpY,"3F8X+VM2, Jl. Koto Baru, Indarung, Kec. Pauh, Kota Padang, Sumatera Barat 25157, Indonesia","tourist_attraction,point_of_interest,establishment",123,4.3
68,Sako Beach,ChIJAQAAALC61C8RlR_svb6Z8t8,"West Bungus, Bungus Teluk Kabung, Padang City, West Sumatra 25237, Indonesia","tourist_attraction,point_of_interest,establishment",331,4.2
69,Pantai Padang,ChIJ30kpIy251C8RAs6B0sSUWQ4,"Jl. Samudera No.16, Olo, Kec. Padang Bar., Kota Padang, Sumatera Barat 25115, Indonesia","tourist_attraction,point_of_interest,establishment",354,4.5
70,Lubuk Paraku,ChIJ3YdqAMC21C8R-6D3iiRDxQI,"3G34+6RR, Indarung, Lubuk Kilangan, Padang City, West Sumatra 25168, Indonesia","tourist_attraction,park,point_of_interest,establishment",212,4.3
71,Pemandian Lubuk Tampuruang,ChIJT3gqMge41C8RlPlMCCLpX0I,"4CPJ+72R, Jalan, Pasar Ambacang, Kuranji, Padang City, West Sumatra 25175, Indonesia","tourist_attraction,park,point_of_interest,establishment",277,4.5
72,Air terjun Lubuk Hitam,ChIJ_1F_BJSl1C8RYZTvdosJUfg,"WCXJ+6C5, North Teluk Kabung, Bungus Teluk Kabung, Padang City, West Sumatra, Indonesia","tourist_attraction,point_of_interest,establishment",17,4.9
73,Pasir Jambak Beach,ChIJGf3TSBrB1C8RMtRg5673UR8,"57FX+RHJ, Jl. Pasir Jambak, Pasie Nan Tigo, Kec. Koto Tangah, Kota Padang, Sumatera Barat 25586, Indonesia","tourist_attraction,point_of_interest,establishment",123,4.4
74,Pemandian Lori Lubuk Minturun,ChIJIduhBvPG1C8RvL5-3-NLpwQ,"Lubuk Minturun, Koto Tangah, Padang City, West Sumatra 25586, Indonesia","tourist_attraction,point_of_interest,establishment",206,4.5
75,Bendungan Niagara Koto Pulai,ChIJjxP3BdHG1C8RL6A3P6-IGGo,"5935+82C, Koto Panjang Ikua Koto, Koto Tangah, Padang City, West Sumatra 25586, Indonesia","tourist_attraction,point_of_interest,establishment",158,4.2
