place_id,place_name,place_address,place_category,total_review,ave_rating,lat,long
ChIJ67iOZzrmaC4RNEKA7WZ7xOk,Caringin,"Babakanciamis, Sumurbandung, Bandung City, West Java 40117, Indonesia",hospital,1,5.0,-6.9148644,107.6082421
ChIJaxnSxzjmaC4RCLcGXQHXTxo,RSMC,"Jl. Cicendo No.33, Babakan Ciamis, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia",hospital,1,5.0,-6.910589499999999,107.6042602
ChIJuUkP1Cp5Ny4R4cmRwH8aIUk,Rumah Sakit Jantung,"Jl. Tubagus Ismail VII No.21, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat 40134, Indonesia",hospital,40,5.0,-6.8827803,107.6191738
ChIJFSHazZ_oaC4RyTIa0lB67o0,Instalasi Radiologi RSKIA Kota Bandung,"Jl. Astana Anyar No.156, Karanganyar, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40241, Indonesia",hospital,0,0.0,-6.9293288,107.6004712
ChIJP8dsP6LoaC4RsO8Zso4nID0,Pusat Medik RS. Immanuel,"Jl. Raya Kopo No.161, Situsaeur, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232, Indonesia",hospital,44,3.9,-6.935912,107.5959899
ChIJyyaXNjHmaC4R0GV5S_kpFbU,Rumah Sakit Bersalin Emma Poeradiredja,"Jl. Sumatera No.46 - 48, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia",hospital,0,0.0,-6.912986,107.613875
ChIJ67iOZzrmaC4RrzhVbEiSPTY,RS PTP VIII Yung Huhn,"3JP5+375, Jl. Pangkalan AU Sulaiman, Babakan Ciamis, Sumur Bandung, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia",hospital,0,0.0,-6.9148644,107.6082421
ChIJlbwL8rvoaC4RyPnftKGlNSo,Rencana Pembangunan RSKIA Kota Bandung,"Jl. Raya Kopo No.311, Kopo, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40233, Indonesia",hospital,5,4.6,-6.94339,107.5914505
ChIJ5-hlIvLnaC4RPZBKNC96hyY,Rumah Teduh Bandung,"4H4W+PVJ, Pasteur, Sukajadi, Bandung City, West Java 40161, Indonesia",hospital,18,4.4,-6.89317,107.5971351
ChIJN9y_r0LmaC4RdbIhaaadr4I,Dept. Ilmu Penyakit Dalam RSHS,"Jl. Pasteur No.38, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161, Indonesia",hospital,2,3.0,-6.8983159,107.5984984
