,name,place_id,formatted_address,types,user_ratings_total,rating,lat,long,latlong
81,Pemadam Kebakaran,ChIJiXod4dP2aS4Raxk4ZluS1RA,"Jl. Raya Kebayoran Lama No.3, RT.2/RW.1, Grogol Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 11540, Indonesia","fire_station,point_of_interest,establishment",7,4.4,-6.2138195,106.777787,"-6.2138195,106.777787"
82,Sector Office Fire Kemayoran,ChIJ0xU9M731aS4R4Ud6fcTjC7I,"RRVV+R4X, Jl. Angkasa Pura, Kemayoran, RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610, Indonesia","fire_station,point_of_interest,establishment",20,4.4,-6.1554082,106.8427742,"-6.1554082,106.8427742"
83,Sektor Pemadam Kebakaran & Penyelamatan,ChIJKR5Zs3_1aS4RI1NvTt66ws8,"Jl. Mangga Dua Raya Dalam No.15, RT.1/RW.12, Mangga Dua Sel., Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10730, Indonesia","fire_station,point_of_interest,establishment",2,5.0,-6.1375614,106.8271202,"-6.1375614,106.8271202"
84,Pemadam Kebakaran Menteng,ChIJnTcdXyD1aS4RtWAWTIf9nBs,"Jl. Cikini Raya No.16, RW.2, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330, Indonesia","fire_station,point_of_interest,establishment",1,5.0,-6.1906288,106.8392384,"-6.1906288,106.8392384"
85,Posko Dinas Pemadam Kebakaran,ChIJg0veQeTyaS4Rrmmu6EDlZuQ,"Jl. Kamboja VII No.36, RT.10/RW.1, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13650, Indonesia","fire_station,point_of_interest,establishment",6,5.0,-6.2627001,106.8809991,"-6.2627001,106.8809991"
86,Pemadam Kebakaran Jakarta Utara,ChIJSarDc-sfai4RtrngS1ta8RM,"no, Jl. Yos Sudarso No.1, RT.2/RW.12, Rawabadak Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14320, Indonesia","fire_station,point_of_interest,establishment",1,5.0,-6.1150651,106.8934496,"-6.1150651,106.8934496"
87,Dinas Kebakaran Jakarta,ChIJrWev73LyaS4RUgLSp4-tYrc,"PR5V+X9X, Jl. Raya Tj. Barat, RT.9/RW.7, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12530, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-6.2900092,106.8434722,"-6.2900092,106.8434722"
88,Pemadam Kebakaran Kramat Djati Jakarta Timur,ChIJ--7YdevzaS4Ro3AaSHxIqHQ,"Jl. Kerja Bakti II No.2, RT.2/RW.4, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570, Indonesia","fire_station,point_of_interest,establishment",3,5.0,-6.277487199999999,106.8714197,"-6.2774872,106.8714197"
89,Pesanggrahan Bintaro Fire Station,ChIJ3TauDffwaS4R_4nQGDgzEoM,"Jl. Cenek No.45, RT.5/RW.3, Pesanggrahan, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12320, Indonesia","fire_station,point_of_interest,establishment",14,4.4,-6.257298899999999,106.7571538,"-6.2572989,106.7571538"
90,Kantor Pemadam Kebakaran Petamburan,ChIJP1CaqzT3aS4RHURNjmC5Z2s,"Jl. K.S. Tubun No.71-73, RT.2/RW.3, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11410, Indonesia","fire_station,point_of_interest,establishment",2,5.0,-6.1939779,106.8055035,"-6.1939779,106.8055035"
91,Pemadam Kebakaran Rasuna Epicentrum,ChIJ37MmsfXzaS4Ratm7N6gN6k4,"QRJP+CX5, RT.17/RW.1, Menteng Atas, Setiabudi, South Jakarta City, Jakarta 12960, Indonesia","fire_station,point_of_interest,establishment",2,5.0,-6.2189726,106.8374674,"-6.2189726,106.8374674"
92,Suku Dinas Jakarta Utara Pos Kelapa Gading,ChIJXamPijb1aS4R7W8gxSuzuDg,"Jl. Raya Pelepah Indah No.18, RT.9/RW.18, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","fire_station,point_of_interest,establishment",4,4.0,-6.156003,106.9050223,"-6.156003,106.9050223"
93,Kantor Sektor 1 Pemadam Kebakaran,ChIJMc2XgTT2aS4RU8n5gRoBTYA,"Jl. Perdana No.10, RT.10/RW.4, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia","fire_station,point_of_interest,establishment",6,4.5,-6.1527204,106.7734847,"-6.1527204,106.7734847"
94,"POS Pemadam Kebakaran Ciganjur, Jakarta Selatan",ChIJE2Z8y4vuaS4Reo1onzJQQU0,"1, RT.2/RW.1, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 16514, Indonesia","fire_station,point_of_interest,establishment",11,4.6,-6.3448172,106.7987901,"-6.3448172,106.7987901"
95,Pemadam Kebakaran Batu Ampar,ChIJ3WuoPV7yaS4RlX2xlXsPn2Y,"Jalan Batu Ampar III No.19, RT.12/RW.2, Batu Ampar, Kramatjati, RT.12/RW.2, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13520, Indonesia","fire_station,point_of_interest,establishment",12,4.2,-6.276579799999999,106.8607885,"-6.2765798,106.8607885"
96,Kantor Pemadam Kebakaran Duren Sawit,ChIJoWZ2WdqMaS4RQJsmEaxu4Wk,"QW3G+2CP, Jl. Klp. Sawit Raya, RT.4/RW.10, Pd. Klp., Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13450, Indonesia","fire_station,point_of_interest,establishment",4,4.0,-6.247421,106.9260551,"-6.247421,106.9260551"
97,Pemadam Kebakaraan Kebun Jeruk Baru,ChIJF5yw8OL2aS4RdMbElCk1zR8,"Blok C. 2, Jl. Perumahan Kb. Jeruk Baru Blok C. 2 No.1, RT.8/RW.8, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia","fire_station,point_of_interest,establishment",4,5.0,-6.1901329,106.7726649,"-6.1901329,106.7726649"
98,Kantor Pemadam Kebakaran Dan Penyelamatan Cempaka Putih,ChIJH7vJJiz1aS4RxnOMnsgpsGo,"RT.16/RW.2, Cempaka Putih Timur, Cempaka Putih, RT.16/RW.2, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-6.1851838,106.8738557,"-6.1851838,106.8738557"
99,Pos Pemadam Kebakaran Pluit,ChIJ0YSSyJcdai4RAbYT37ndos8,"Jl. Pluit Barat Raya No.800, RW.7, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia","fire_station,point_of_interest,establishment",2,5.0,-6.1174994,106.784716,"-6.1174994,106.784716"
100,Damkar PB Pemadam Kebakaran,ChIJAbDQvQD1aS4RgcJWaIp1ykw,"Ruko Cemp. Putih Permai, Jl. Letjen Suprapto, RT.12/RW.5, Cemp. Putih Tim., Kec. Cemp. Putih, DKI Jakarta, Daerah Khusus Ibukota Jakarta 10520, Indonesia","fire_station,point_of_interest,establishment",0,0.0,-6.171125,106.86612,"-6.171125,106.86612"
101,Pos Pemadam Senen,ChIJvdUwn2H1aS4RBezBb5Iy13k,"RRGV+X9J, Jln. Stasiun, RW.3, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410, Indonesia","fire_station,point_of_interest,establishment",3,5.0,-6.172528100000001,106.8433959,"-6.1725281,106.8433959"
102,Pemadam Kebakaran,ChIJIb67MKYdai4RLndSX0UhKVE,"Jl. Pendaratan Ikan No.3, RT.13/RW.11, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia","fire_station,point_of_interest,establishment",23,4.5,-6.108399299999999,106.7736033,"-6.1083993,106.7736033"
103,Pos Pemadam Kebakaran Petamburan,ChIJCR13f3T3aS4RUNYEpsxx1_Y,"Jl. K.S. Tubun Jl. Pejompongan Raya No.69, RT.2/RW.3, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11410, Indonesia","fire_station,point_of_interest,establishment",2,5.0,-6.1938078,106.8055053,"-6.1938078,106.8055053"
104,Kantor Sektor Pemadam Kebakaran Kelapa Gading,ChIJ7XHwRtb0aS4R5uEHe2GLrLk,"Jl. Komp. PLN No.6, RT.6/RW.14, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","fire_station,point_of_interest,establishment",10,4.5,-6.175989299999999,106.9044475,"-6.1759893,106.9044475"
