place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,art_gallery,bakery,bar,cafe,food,liquor_store,lodging,meal_delivery,meal_takeaway,night_club,restaurant,school,store
ChIJeXc1-ipb0i0RmdUPeXqvKXk,Warung Bali Bambu Sari,"Jl. Kauripan No.2, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,91,4.6,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJu6_YG74Wei4RtHGPKdjguqg,Ubud Balinya Solo,"Jl.kelud selatan, Jl. Nayu Kelurahan No.42, RW.05, joglo, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,174,4.6,0,0,0,1,1,0,0,0,0,0,0,0,0
ChIJj2YYRMBc0i0R4VItC_wL_Hw,"Bejana, Indonesian Restaurant at The Ritz-Carlton, Bali","The Ritz-Carlton, Sawangan, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,151,4.7,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJySXvVVc90i0RdOkVA_NwHEo,CasCades Restaurant,"Jl. Lanyahan, Br. Nagi, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,307,4.7,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJn_yYvYtE0i0R-ZZOyt4OBN0,Balique,"Uluwatu St No.39, Jimbaran, South Kuta, Badung Regency, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,750,4.4,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJ_Q5n311A0i0R4yKG_eF9H3I,The Restaurant at The Legian Seminyak,"Jl. Kayu Aya, Seminyak, beach, Kabupaten Badung, Bali, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,216,4.6,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJyTMoqWQWei4R1S23pHLQOeM,"RM MASAKAN PADANG SELAMAT BARU ,SOLO","Jl. Dr. Rajiman, Bumi, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,296,4.6,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJxTDdpGYWei4RHcaS72FiZlY,Ampera Uni Nora,"Jl. K.H Hasyim Ashari No.43, Kauman, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57112, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,135,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJWY8T72sWei4RqcRO5g049i0,Warung Padang Pak Haji Jamal,"Jl. Veteran No.62, Joyosuran, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57116, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,58,4.3,0,0,0,0,1,0,0,0,0,0,1,0,0
ChIJfxRGnWkWei4RL9enN4UEMNI,Rumah Makan Barokah Riyadh,"CR8H+XCR, Jl. Ibu Pertiwi, Semanggi, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57118, Indonesia",Surakarta,Belum Ada Foto,Belum Ada Deskripsi,1,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0
