place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,amusement_park,aquarium,art_gallery,cafe,church,food,hindu_temple,library,local_government_office,lodging,mosque,museum,natural_feature,park,place_of_worship,restaurant,rv_park,school,shopping_mall,store,travel_agency,zoo
ChIJD9Lz2gCL0S0RofvL0ap4zYo,Marigold (Gumitir Garden),"P69Q+HFW, Belok/Sidan, Petang, Badung Regency, Bali 80353, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,117,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJKzEcPhcn0i0RujZNRP08gv8,Wahana Wisata Sambhrama Ashram,"Senganan, Penebel, Tabanan Regency, Bali 82152, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,448,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJm7V37gcO0i0RtCs-s4-56oo,Pantai Yeh Malet,"Yeh Malet, Antiga Kelod, Kec. Karangasem, Karangasem Regency, Bali 80871, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,183,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJmRTfT9ZC0i0RRB_NXwb5P2k,Waterblow,"Benoa, South Kuta, Badung Regency, Bali 80363, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,8853,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChIJwwCS2XFA0i0RwGKRquRfi2s,Big Garden Corner,"Sanur, Jl. Bypass Ngurah Rai, Kesiman, Denpasar Selatan, Kota Denpasar, Bali 80237, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,5705,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJAzxT71kf0i0RdZJCraQLT14,Lembah Bidadari (Angel Valley),"Sangaji, Taro, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,181,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ3fLUUs9E0i0RP8BFf-NGZiU,Main Entrance GWK Cultural Park,"Jl. Kw. Garuda Wisnu Kencana, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bali,Belum Ada Foto,Belum Ada Deskripsi,10949,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJM03qlyy51C8R4-g6vxspOrY,Danau Cimpago,"3982+FG6, Kelurahan Purus, Kecamatan Padang Barat, Purus, Padang, Kota Padang, Sumatera Barat 25115, Indonesia",Padang,Belum Ada Foto,Belum Ada Deskripsi,664,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJHWMIEgC81C8R80L9kSJvNQc,Taman Siti Nurbaya,"29M5+VV6, Batang Arau, Padang Selatan, Padang City, West Sumatra, Indonesia",Padang,Belum Ada Foto,Belum Ada Deskripsi,500,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ChIJIVla7SK61C8RiVcKISmpdKU,Nobita Hill,"Kampung Jua Nan XX, Lubuk Begalung, Padang City, West Sumatra 25153, Indonesia",Padang,Belum Ada Foto,Belum Ada Deskripsi,149,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJo0JWABq31C8R-s6nG2HFdpY,Air Terjun Sarasah,"3F8X+VM2, Jl. Koto Baru, Indarung, Kec. Pauh, Kota Padang, Sumatera Barat 25157, Indonesia",Padang,Belum Ada Foto,Belum Ada Deskripsi,123,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJAQAAALC61C8RlR_svb6Z8t8,Sako Beach,"West Bungus, Bungus Teluk Kabung, Padang City, West Sumatra 25237, Indonesia",Padang,Belum Ada Foto,Belum Ada Deskripsi,331,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChIJ30kpIy251C8RAs6B0sSUWQ4,Pantai Padang,"Jl. Samudera No.16, Olo, Kec. Padang Bar., Kota Padang, Sumatera Barat 25115, Indonesia",Padang,Belum Ada Foto,Belum Ada Deskripsi,354,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
