place_id,place_name,place_address,city/regency,image,desc,total_review,ave_rating,art_gallery,bakery,bar,cafe,clothing_store,electronics_store,food,gym,health,home_goods_store,lodging,night_club,park,parking,real_estate_agency,restaurant,shopping_mall,spa,store,travel_agency
ChIJo0SIneb1aS4RjbRY29Eyr-s,Hotel 88 Mangga Besar VIII,"Jl. Mangga Besar VIII No.10D, Taman Sari, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,1745,4.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ20VGYoz2aS4RIC2J5qB4G0U,Amaris Hotel Slipi Jakarta,"Jl. Letjen S. Parman No.92A, RT.1/RW.8, Slipi, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,624,4.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJDaD8L9_1aS4RGo9HaxB-k3E,Hotel ibis Jakarta Harmoni,"14, Jl. Hayam Wuruk No.35, RT.14/RW.1, Kb. Klp., Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,2998,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ0yJpNP3zaS4R5r4fsXvnHSE,favehotel Gatot Subroto Jakarta,"Jl. Kartika Candra, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,3846,4.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
ChIJVZzWMe0dai4RoCgqXW8CJ-k,ASTON Pluit Hotel & Residence,"Jl. Pluit Selatan Raya No.1, RW.9, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,6165,4.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
ChIJYcX_eIv1aS4RozcnH1C9hpg,ARTOTEL Wahid Hasyim - Jakarta,"Jl. K.H. Wahid Hasyim No.135, RT.9/RW.2, Kebon Kacang, Tanah Abang, Central Jakarta City, Jakarta 10240, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,580,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJG3PRIAIfai4RS6bui7dMa_A,Grand Dafam Ancol Jakarta (formerly Aston Marina Ancol),"Jl. Lodan Raya No.2A, RT.8/RW.11, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,1072,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJXS2uQDD0aS4ROFlsU3psnIY,Park Hyatt Jakarta,"Jl. Kebon Sirih No.17-19, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,928,4.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJpwZ4uG7xaS4RxY_YiHwJZb8,favehotel Melawai,"Jl. Melawai IV No.3-11, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,2684,4.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJf3EZE0LtaS4RLm5SGvRfxws,Kartika One Hotel,"Jl. Raya Lenteng Agung No.18, RT.10/RW.2, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630, Indonesia",Jakarta,Belum Ada Foto,Belum Ada Deskripsi,379,4.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
